model,roc_auc,pr_auc,accuracy,precision,recall,f1,threshold,tp,tn,fp,fn
Logistic Regression,0.6164547453686133,0.26978938057164104,0.2190001704102675,0.1915605881978078,0.9802404972995007,0.32049030942536244,0.47999999999999987,96191,18186,405953,1939
Gradient Boosting,0.6010402183291987,0.2512429008551106,0.4122281812629124,0.21337933646791446,0.7922042188933048,0.33620281412381364,0.2,77739,137555,286584,20391
Random Forest,0.5959434956445763,0.245451020122409,0.4518859055390996,0.21742043047899426,0.7375522266381331,0.3358398199598622,0.5,72376,163630,260509,25754
