DEP_TIME_BLK,delay_rate,avg_delay_new
2100-2159,0.23869667917187717,18.742699
1900-1959,0.24821836325074556,18.706966
1800-1859,0.23858846200168612,17.662477
2200-2259,0.21991400868687755,17.558153
2000-2059,0.240438164050015,17.507357
1700-1759,0.22879989640325035,16.90104
1600-1659,0.22481581742795462,16.384792
1500-1559,0.21926418931410613,16.113829
1400-1459,0.20716310918525652,15.332551
1300-1359,0.20325306605825008,15.152496
2300-2359,0.18821424448805263,15.006579
1200-1259,0.19064622370652956,14.359432
0001-0559,0.1381349279259717,14.290284
1100-1159,0.1808125970783733,13.156936
1000-1059,0.1753959581496414,12.8321085
0700-0759,0.14708363461074958,11.872819
0900-0959,0.16300007612298706,11.695418
0600-0659,0.1278359151024646,11.638938
0800-0859,0.15761902799931723,11.53872
