OP_CARRIER,flights,delay_rate
WN,474178,0.17986705414422433
DL,336839,0.17100454519815106
AA,325701,0.20427631477950636
OO,275984,0.19844266334280247
UA,237279,0.19421019137808235
YX,118273,0.15884436853719783
MQ,97683,0.19929772836624593
B6,87727,0.27338219704309963
NK,86397,0.2270333460652569
OH,80343,0.20809529143795974
