ROUTE,flights,delay_rate
BOS-PBI,784,0.36862244897959184
ASE-DFW,555,0.36576576576576575
ORD-ASE,626,0.35942492012779553
LAX-ASE,652,0.35429447852760737
DFW-ASE,550,0.3472727272727273
DEN-ASE,1025,0.34536585365853656
JFK-PBI,810,0.34444444444444444
BOS-SJU,633,0.330173775671406
ASE-ORD,627,0.33014354066985646
BOS-RSW,968,0.3285123966942149
